54222,Austria,Turkmenistan,Survivor-2 -,armoured personnel carrier,Armoured vehicles,2010,Yes,10,Yes,2011,Yes,New,0.32,0.32,3.2,No;
61023,Austria,Montenegro,Survivor-2 -,armoured personnel carrier,Armoured vehicles,2014,No,4,Yes,2015,Yes,New,0.32,0.32,1.28,No;
27179,Austria,Thailand,GC-45 155mm,towed gun,Artillery,1997,No,18,No,1998,No,New,1,1,18,No;
24811,Austria,Belgium,Pandur,armoured personnel carrier,Armoured vehicles,1997,No,2,Yes,1998,No,New,0.3,0.3,0.6,Yes;
24811,Austria,Belgium,Pandur,armoured personnel carrier,Armoured vehicles,1997,No,35,No,1999,No,New,0.3,0.3,10.5,Yes;
24811,Austria,Belgium,Pandur,armoured personnel carrier,Armoured vehicles,1997,No,17,No,2000,No,New,0.3,0.3,5.1,Yes;
26005,Austria,Slovenia,Pandur,armoured personnel carrier,Armoured vehicles,1998,No,6,Yes,1999,No,New,0.3,0.3,1.8,Yes;
26005,Austria,Slovenia,Pandur,armoured personnel carrier,Armoured vehicles,1998,No,6,Yes,2000,No,New,0.3,0.3,1.8,Yes;
26005,Austria,Slovenia,Pandur,armoured personnel carrier,Armoured vehicles,1998,No,8,Yes,2001,No,New,0.3,0.3,2.4,Yes;
26005,Austria,Slovenia,Pandur,armoured personnel carrier,Armoured vehicles,1998,No,8,Yes,2002,No,New,0.3,0.3,2.4,Yes;
26005,Austria,Slovenia,Pandur,armoured personnel carrier,Armoured vehicles,1998,No,8,Yes,2003,No,New,0.3,0.3,2.4,Yes;
29371,Austria,United States,Pandur,armoured personnel carrier,Armoured vehicles,1999,No,6,Yes,2000,No,New,0.3,0.3,1.8,Yes;
29371,Austria,United States,Pandur,armoured personnel carrier,Armoured vehicles,1999,No,6,Yes,2001,Yes,New,0.3,0.3,1.8,Yes;
29371,Austria,United States,Pandur,armoured personnel carrier,Armoured vehicles,1999,No,11,Yes,2006,No,New,0.3,0.3,3.3,Yes;
29371,Austria,United States,Pandur,armoured personnel carrier,Armoured vehicles,1999,No,10,No,2007,No,New,0.3,0.3,3,Yes;
40074,Austria,Saudi Arabia,M-12 120mm,mortar,Artillery,2008,Yes,37,No,2010,No,New,0.4,0.4,14.8,No;
34255,Austria,Portugal,Pandur-2 -,armoured personnel carrier,Armoured vehicles,2005,No,8,Yes,2007,No,New,0.3,0.3,2.4,Yes;
34255,Austria,Portugal,Pandur-2 -,armoured personnel carrier,Armoured vehicles,2005,No,31,Yes,2008,No,New,0.3,0.3,9.3,Yes;
34255,Austria,Portugal,Pandur-2 -,armoured personnel carrier,Armoured vehicles,2005,No,35,Yes,2009,No,New,0.3,0.3,10.5,Yes;
34255,Austria,Portugal,Pandur-2 -,armoured personnel carrier,Armoured vehicles,2005,No,35,Yes,2010,No,New,0.3,0.3,10.5,Yes;
34255,Austria,Portugal,Pandur-2 -,armoured personnel carrier,Armoured vehicles,2005,No,35,Yes,2011,No,New,0.3,0.3,10.5,Yes;
